round neck,0,1,3,6,8,9,10,11,12,13,14,15,16,18,21,22,23,27,28,30,37,38,39,42,43,44,45,46,48,52,53,54,56,58,60,62,63,65,67,68,69,70,76,78,79,80,82,83,88,89,90,92,97,98,99,102,104,105,107,108,109,111,118,120,122,124,125,127,128,131,132,133,134,137,138,139,141,142,143,145,146,147,148,149,154,155,156,158,159,160,162,164,165,166,168,169,170,171,172,174,175,178,179,180,181,182,183,184,185,186,188,189,192,194,195,196,202,203,204,205,207,208,209,211,212,214,216,217,221,225,226,227,228,229,232,234,237,238,239,241,244,245,246,247,249,251,253,256,257,258,259,260,261,262,263,266,268,269,272,273,274,275,276,277,280,283,286,287,288,290,294,295,296,298,300,301,302,303,306,307,308,309,310,314,317,318,319,320,321,326,327,328,329,330,331,334,336,338,339,340,343,346,348,349,351,352,353,355,356,357,360,361,362,363,364,365,366,370,373,374,376,377,378,380,385,386,387,391,395,396
polo neck,2,5,17,25,29,31,32,35,49,50,51,59,66,71,72,77,96,106,112,114,115,117,119,121,123,126,129,140,150,151,152,163,173,176,187,193,198,201,219,220,222,223,224,230,231,233,236,242,250,252,264,265,270,279,281,282,284,285,292,297,299,312,315,316,323,324,325,332,335,341,342,344,345,350,359,368,369,371,372,375,379,382,383,388,389,390,392,393
hooded neck,4,7,19,24,26,36,40,47,55,64,84,87,91,94,101,110,113,167,177,190,206,210,213,243,255,267,271,291,322,347,367,394
mandarin collar,34,61,74,75,85,153,191,278,354
v neck,86,144,161,197,289,293,311,333,381
henley neck,103,218,248,358
vneck,20,95,100
turtle neck,73,116,136
high neck,157
asymmetric neck,199
