solid,2,5,8,9,11,14,16,18,19,31,33,34,35,44,46,52,57,59,61,71,73,74,75,77,79,83,84,85,89,92,93,96,101,114,115,116,117,123,124,126,129,132,133,135,136,140,143,147,150,151,153,155,157,160,163,164,166,172,173,176,191,194,197,199,200,204,205,209,210,212,219,222,233,234,236,242,246,250,251,254,264,268,273,277,278,279,285,287,288,290,292,293,297,299,305,307,308,312,315,319,323,324,325,329,330,334,345,354,355,363,368,369,370,371,372,377,393
printed,4,10,12,13,22,23,24,26,28,30,37,38,54,55,56,58,62,67,68,78,91,94,97,98,99,100,102,108,111,113,118,131,138,139,141,142,145,146,148,149,158,159,171,174,177,178,181,182,188,189,207,211,214,215,216,217,218,221,226,227,228,237,238,239,244,245,253,256,257,260,266,271,275,276,291,295,296,298,300,301,306,314,317,321,328,333,336,339,340,346,353,356,357,361,362,365,374,376,380,381,386,387,396
color block,1,3,6,15,20,25,27,29,40,41,43,47,48,50,63,66,69,80,81,86,88,103,104,105,107,109,120,125,128,134,144,154,156,168,169,170,184,185,187,190,193,196,203,206,208,220,223,224,229,243,247,249,258,262,263,267,269,272,284,286,289,303,318,322,326,331,338,351,358,359,364,366,367,375,378,382,385
striped,0,17,21,32,42,45,72,76,82,87,110,112,122,130,152,162,165,175,179,180,186,192,195,198,202,213,230,231,232,241,252,261,265,270,274,280,281,282,283,302,304,309,310,311,316,320,327,332,335,342,343,344,349,350,352,360,373,379,383,389,390,391,392,395
checkered,49,106,119,137,201,240,259,294,348
sporty,65
perfectfit solid,95
self design solid,127
perfectfit self design,161
geometric print,183
